"age","anio_def","variable","method","cor","p.value","n"
"01.menor a 20 anios",2015,"covid","pearson",NA,NA,12
"01.menor a 20 anios",2015,"covid","spearman",NA,NA,12
"01.menor a 20 anios",2015,"resp","pearson",-0.0213144611041652,0.947578203692912,12
"01.menor a 20 anios",2015,"resp","spearman",-0.143607926009361,0.656129207444872,12
"01.menor a 20 anios",2015,"circ","pearson",0.185702065351587,0.563370355200057,12
"01.menor a 20 anios",2015,"circ","spearman",0.115879440581818,0.719872366243943,12
"01.menor a 20 anios",2015,"diabetes","pearson",0.242419428836139,0.447762625446936,12
"01.menor a 20 anios",2015,"diabetes","spearman",0.362455361760074,0.246916299579465,12
"01.menor a 20 anios",2015,"alzheimer","pearson",NA,NA,12
"01.menor a 20 anios",2015,"alzheimer","spearman",NA,NA,12
"01.menor a 20 anios",2015,"metabolic","pearson",-0.153971624508713,0.632810139575847,12
"01.menor a 20 anios",2015,"metabolic","spearman",-0.180861298461743,0.573761268632284,12
"01.menor a 20 anios",2015,"anemia","pearson",-0.249379002197123,0.43441734084871,12
"01.menor a 20 anios",2015,"anemia","spearman",-0.187109685240688,0.5603632396562,12
"01.menor a 20 anios",2016,"covid","pearson",NA,NA,12
"01.menor a 20 anios",2016,"covid","spearman",NA,NA,12
"01.menor a 20 anios",2016,"resp","pearson",0.406680953258316,0.189535692834217,12
"01.menor a 20 anios",2016,"resp","spearman",0.328671328671329,0.297385077720106,12
"01.menor a 20 anios",2016,"circ","pearson",0.364920845337307,0.243476421972665,12
"01.menor a 20 anios",2016,"circ","spearman",0.168422089397401,0.600804984282144,12
"01.menor a 20 anios",2016,"diabetes","pearson",0.277117722105683,0.383206700500301,12
"01.menor a 20 anios",2016,"diabetes","spearman",0.0829415430422318,0.797746707476488,12
"01.menor a 20 anios",2016,"alzheimer","pearson",NA,NA,12
"01.menor a 20 anios",2016,"alzheimer","spearman",NA,NA,12
"01.menor a 20 anios",2016,"metabolic","pearson",0.429447756779519,0.16355140270214,12
"01.menor a 20 anios",2016,"metabolic","spearman",0.480384461415261,0.11393741215192,12
"01.menor a 20 anios",2016,"anemia","pearson",0.113097001218559,0.726367746022484,12
"01.menor a 20 anios",2016,"anemia","spearman",-0.0462706707003683,0.886455200511483,12
"01.menor a 20 anios",2017,"covid","pearson",NA,NA,12
"01.menor a 20 anios",2017,"covid","spearman",NA,NA,12
"01.menor a 20 anios",2017,"resp","pearson",0.331335931107598,0.292769512822739,12
"01.menor a 20 anios",2017,"resp","spearman",-0.034965034965035,0.921184082791962,12
"01.menor a 20 anios",2017,"circ","pearson",0.251663280043635,0.430079728562181,12
"01.menor a 20 anios",2017,"circ","spearman",0.228474177374493,0.475079729629864,12
