"age","anio_def","cause","method","cor","p.value","n"
"01.menor a 20 anios",2015,"covid","pearson",NA,NA,12
"01.menor a 20 anios",2015,"covid","spearman",NA,NA,12
"01.menor a 20 anios",2016,"covid","pearson",NA,NA,12
"01.menor a 20 anios",2016,"covid","spearman",NA,NA,12
"01.menor a 20 anios",2017,"covid","pearson",NA,NA,12
"01.menor a 20 anios",2017,"covid","spearman",NA,NA,12
"01.menor a 20 anios",2018,"covid","pearson",NA,NA,12
"01.menor a 20 anios",2018,"covid","spearman",NA,NA,12
"01.menor a 20 anios",2019,"covid","pearson",NA,NA,12
"01.menor a 20 anios",2019,"covid","spearman",NA,NA,12
"01.menor a 20 anios",2020,"covid","pearson",1,1.32831694084709e-79,12
"01.menor a 20 anios",2020,"covid","spearman",1,0,12
"01.menor a 20 anios",2021,"covid","pearson",1,0,12
"01.menor a 20 anios",2021,"covid","spearman",1,0,12
"01.menor a 20 anios",2022,"covid","pearson",1,1.32831694084709e-79,12
"01.menor a 20 anios",2022,"covid","spearman",1,0,12
"01.menor a 20 anios",2023,"covid","pearson",1,0,12
"01.menor a 20 anios",2023,"covid","spearman",1,0,12
"01.menor a 20 anios",2024,"covid","pearson",1,1.32831694084709e-79,12
"01.menor a 20 anios",2024,"covid","spearman",1,0,12
"01.menor a 20 anios",2015,"resp","pearson",NA,NA,12
"01.menor a 20 anios",2015,"resp","spearman",NA,NA,12
"01.menor a 20 anios",2016,"resp","pearson",NA,NA,12
"01.menor a 20 anios",2016,"resp","spearman",NA,NA,12
"01.menor a 20 anios",2017,"resp","pearson",NA,NA,12
"01.menor a 20 anios",2017,"resp","spearman",NA,NA,12
"01.menor a 20 anios",2018,"resp","pearson",NA,NA,12
"01.menor a 20 anios",2018,"resp","spearman",NA,NA,12
"01.menor a 20 anios",2019,"resp","pearson",NA,NA,12
"01.menor a 20 anios",2019,"resp","spearman",NA,NA,12
"01.menor a 20 anios",2020,"resp","pearson",-0.400464864414516,0.197048258331506,12
"01.menor a 20 anios",2020,"resp","spearman",-0.570436680315239,0.052774096020423,12
"01.menor a 20 anios",2021,"resp","pearson",-0.858852878854377,0.000346426049794201,12
"01.menor a 20 anios",2021,"resp","spearman",-0.603198056923566,0.0378582447990736,12
"01.menor a 20 anios",2022,"resp","pearson",0.0611927905967873,0.850157702939209,12
"01.menor a 20 anios",2022,"resp","spearman",-0.213660572843196,0.50491268758604,12
"01.menor a 20 anios",2023,"resp","pearson",0.203152725764197,0.526562949066026,12
"01.menor a 20 anios",2023,"resp","spearman",0.0554355371239765,0.864134054150763,12
"01.menor a 20 anios",2024,"resp","pearson",0.592520586263323,0.0423384220122109,12
