"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"90","1","K72","","10_45 a 49","1"
"46","1","V20","","11_50 a 54","1"
"54","2","E46","","15_70 a 74","2"
"06","1","V89","","10_45 a 49","3"
"66","1","J18","","16_75 a 79","38"
"82","1","K76","","15_70 a 74","4"
"54","1","V22","","10_45 a 49","1"
"50","1","V43","","07_30 a 34","2"
"78","2","J96","","17_80 y más","3"
"06","1","K51","","10_45 a 49","1"
"46","2","D64","","17_80 y más","1"
"50","1","J90","","12_55 a 59","1"
"50","2","C25","","16_75 a 79","13"
"82","1","R53","","03_10 a 14","1"
"02","1","Y17","","03_10 a 14","2"
"30","2","K55","","16_75 a 79","4"
"06","1","M62","","17_80 y más","2"
"14","1","I26","","05_20 a 24","1"
"50","2","N17","","16_75 a 79","7"
"14","1","K70","","13_60 a 64","15"
"99","1","J98","","09_40 a 44","1"
"02","9","I50","","14_65 a 69","1"
"06","2","P77","","01_Menor de 1 año","8"
"54","1","V29","","13_60 a 64","1"
"26","2","N17","","16_75 a 79","3"
"82","1","C43","","10_45 a 49","2"
"06","1","E85","","14_65 a 69","1"
"66","1","A16","","09_40 a 44","1"
"06","2","I42","","14_65 a 69","14"
"30","9","R99","","01_Menor de 1 año","1"
"06","1","I49","","06_25 a 29","4"
"66","2","C50","","12_55 a 59","6"
"18","2","G35","","10_45 a 49","2"
"02","2","B33","","11_50 a 54","1"
"86","1","I26","","07_30 a 34","1"
"06","1","X81","","10_45 a 49","1"
"06","1","K70","","10_45 a 49","10"
"22","1","J44","","11_50 a 54","7"
"70","2","W80","","09_40 a 44","1"
"02","2","C41","","16_75 a 79","3"
"62","1","V28","","06_25 a 29","1"
"06","1","D44","","16_75 a 79","1"
"62","1","Y26","","07_30 a 34","1"
"06","2","D37","","16_75 a 79","1"
"90","1","B20","","07_30 a 34","5"
"99","1","B20","","10_45 a 49","1"
"06","2","K74","","16_75 a 79","22"
"30","2","V48","","10_45 a 49","1"
"06","2","E86","","16_75 a 79","35"
"06","2","C02","","10_45 a 49","2"
"30","2","B24","","06_25 a 29","2"
"98","2","V89","","09_40 a 44","1"
"14","1","I26","","12_55 a 59","7"
"06","1","C83","","16_75 a 79","1"
"82","1","C16","","10_45 a 49","5"
"70","1","V48","","06_25 a 29","1"
"22","2","L95","","16_75 a 79","1"
"86","1","C38","","07_30 a 34","1"
"14","2","I30","","17_80 y más","1"
"82","1","K31","","14_65 a 69","1"
"06","2","G20","","17_80 y más","65"
"62","1","C34","","09_40 a 44","2"
"54","1","C47","","11_50 a 54","1"
"30","2","N18","","16_75 a 79","5"
"82","1","V21","","07_30 a 34","1"
"74","1","I11","","12_55 a 59","2"
"30","2","V23","","04_15 a 19","2"
"30","1","I44","","16_75 a 79","2"
"18","2","X74","","07_30 a 34","1"
"66","1","X59","","15_70 a 74","4"
"22","2","B21","","10_45 a 49","1"
"58","1","X59","","06_25 a 29","1"
"82","1","D69","","02_1 a 9","1"
"66","1","X70","","04_15 a 19","37"
"82","1","C72","","11_50 a 54","1"
"86","1","W85","","08_35 a 39","2"
"50","1","I37","","17_80 y más","1"
"06","1","J69","","09_40 a 44","5"
"14","2","M32","","14_65 a 69","1"
"02","1","G12","","14_65 a 69","4"
"38","2","C18","","12_55 a 59","5"
"22","1","J81","","13_60 a 64","2"
"50","1","J09","","10_45 a 49","1"
"54","2","R10","","17_80 y más","2"
"18","1","E10","","14_65 a 69","1"
"82","2","E11","","11_50 a 54","3"
"50","2","C49","","15_70 a 74","1"
"62","1","N49","","10_45 a 49","1"
"06","1","G40","","17_80 y más","1"
"78","1","I64","","12_55 a 59","1"
"86","1","I25","","15_70 a 74","7"
"74","2","C32","","14_65 a 69","1"
"90","2","C47","","02_1 a 9","1"
"06","2","E83","","16_75 a 79","1"
"02","1","Y28","","04_15 a 19","3"
"99","1","R57","","14_65 a 69","1"
"06","1","J96","","09_40 a 44","39"
"82","2","R99","","09_40 a 44","13"
"74","1","Y24","","05_20 a 24","2"
"06","2","Q25","","01_Menor de 1 año","17"
"22","1","I44","","16_75 a 79","1"
"22","1","Y03","","11_50 a 54","1"
"06","2","C92","","06_25 a 29","3"
"14","2","R09","","03_10 a 14","1"
"06","2","C45","","15_70 a 74","4"
"14","2","J39","","17_80 y más","1"
"10","1","J69","","17_80 y más","2"
"18","2","C82","","15_70 a 74","1"
"38","1","N19","","02_1 a 9","1"
"06","2","J21","","01_Menor de 1 año","17"
"14","2","Q04","","01_Menor de 1 año","2"
"14","1","N39","","12_55 a 59","2"
"14","1","G80","","12_55 a 59","1"
"50","1","I44","","15_70 a 74","2"
"70","1","Y83","","11_50 a 54","3"
"06","2","C06","","16_75 a 79","2"
"50","2","R09","","17_80 y más","1"
"10","2","I10","","08_35 a 39","1"
"82","2","Q61","","01_Menor de 1 año","1"
"30","2","A41","","09_40 a 44","4"
"50","1","C83","","07_30 a 34","1"
"58","1","I26","","09_40 a 44","1"
"10","2","N19","","13_60 a 64","2"
"06","2","J90","","13_60 a 64","2"
"02","2","C83","","15_70 a 74","2"
"74","1","G12","","13_60 a 64","1"
"06","1","C07","","13_60 a 64","5"
"82","1","I69","","14_65 a 69","9"
"26","2","K74","","14_65 a 69","1"
"82","1","V43","","10_45 a 49","1"
"50","1","C61","","13_60 a 64","14"
"70","1","K66","","14_65 a 69","1"
"14","1","I48","","15_70 a 74","2"
"34","2","C22","","16_75 a 79","1"
"30","1","V43","","11_50 a 54","1"
"14","1","R02","","13_60 a 64","1"
"38","2","K80","","17_80 y más","1"
"18","1","C22","","14_65 a 69","3"
"90","1","C24","","13_60 a 64","3"
"38","1","K57","","14_65 a 69","1"
"14","2","K42","","14_65 a 69","1"
"02","1","Y34","","10_45 a 49","4"
"62","1","C64","","11_50 a 54","1"
"10","2","I21","","15_70 a 74","3"
"70","2","A41","","06_25 a 29","2"
"66","2","A09","","11_50 a 54","1"
"06","1","X59","","11_50 a 54","46"
"14","2","C34","","11_50 a 54","18"
"18","1","C14","","13_60 a 64","1"
"66","1","C24","","16_75 a 79","1"
"42","1","X72","","13_60 a 64","1"
"82","1","C18","","09_40 a 44","10"
"22","2","Y83","","14_65 a 69","3"
"42","1","I67","","14_65 a 69","1"
"58","1","I71","","13_60 a 64","3"
"22","2","E87","","15_70 a 74","1"
"50","2","C91","","03_10 a 14","1"
"50","2","R99","","11_50 a 54","1"
"14","1","F10","","12_55 a 59","3"
"06","1","G30","","13_60 a 64","3"
"74","2","C26","","17_80 y más","2"
"06","1","V49","","13_60 a 64","54"
"46","2","J96","","15_70 a 74","2"
"26","2","E14","","17_80 y más","11"
"74","1","C34","","13_60 a 64","8"
"26","1","J18","","13_60 a 64","6"
"22","2","N17","","17_80 y más","2"
"50","1","I35","","15_70 a 74","2"
"90","1","Q00","","01_Menor de 1 año","4"
