PROVRES,SEXO,CAUSA,MAT,GRUPEDAD,CUENTA
54,2,C92,,15_70 a 74,1
18,1,G03,,14_65 a 69,1
18,2,Y34,,14_65 a 69,1
34,1,C64, ,13_60 a 64,1
22,1,I63,,17_80 y más,2
82,2,K51,,17_80 y más,1
66,2,R95,,01_Menor de 1 año,7
02,1,C47,,12_55 a 59,1
46,1,C61,,17_80 y más,8
58,2,C80,,13_60 a 64,1
14,2,P77,,01_Menor de 1 año,7
18,1,C18,,14_65 a 69,8
10,1,V68,,13_60 a 64,1
54,1,B24,,08_35 a 39,7
14,2,E87, ,17_80 y más,15
06,1,A41,,06_25 a 29,1
06,1,X74, ,09_40 a 44,11
30,2,I21,,17_80 y más,65
66,1,V23,,14_65 a 69,1
06,2,Q24,,05_20 a 24,1
50,1,F10,,14_65 a 69,3
70,1,K76,,16_75 a 79,3
58,1,J96,,17_80 y más,3
38,1,A41,,08_35 a 39,2
38,1,I21,,15_70 a 74,3
50,1,V03,,05_20 a 24,2
62,2,D32,,14_65 a 69,1
34,1,J96,,15_70 a 74,1
82,1,V04,,17_80 y más,1
06,1,I60,,15_70 a 74,1
14,1,G35, ,10_45 a 49,1
02,1,K72,,16_75 a 79,3
02,2,G00,,16_75 a 79,1
42,2,B17,,10_45 a 49,1
99,1,A41, ,09_40 a 44,1
06,1,X09, ,17_80 y más,6
34,2,C41,,06_25 a 29,2
66,2,N94,,12_55 a 59,1
06,2,J69, ,07_30 a 34,2
14,1,E20, ,04_15 a 19,1
02,1,C67,,12_55 a 59,4
70,1,Q55,,17_80 y más,1
18,1,C18,,12_55 a 59,1
02,2,L89,,13_60 a 64,4
94,1,X70,,07_30 a 34,2
54,1,K74,,14_65 a 69,4
86,1,R96,,14_65 a 69,2
90,1,F17,,17_80 y más,5
34,1,I64,,14_65 a 69,5
06,1,P02,,01_Menor de 1 año,10
06,2,J21,,01_Menor de 1 año,7
50,1,I21,,17_80 y más,141
82,2,V43,,02_1 a 9,2
86,2,C34,,08_35 a 39,1
82,2,R81,,17_80 y más,1
66,1,C44,,17_80 y más,3
86,2,Y83, ,05_20 a 24,1
06,1,C67, ,14_65 a 69,54
62,1,I50, ,11_50 a 54,1
66,2,J44,,17_80 y más,34
06,2,I61,,11_50 a 54,4
78,2,J18,,16_75 a 79,5
10,1,I64,,15_70 a 74,4
06,2,L89, ,13_60 a 64,3
50,2,I11,,09_40 a 44,1
90,2,N18,,02_1 a 9,1
82,2,J40,,17_80 y más,4
50,2,N10,,09_40 a 44,1
06,2,I67, ,12_55 a 59,11
06,2,Y24, ,15_70 a 74,1
06,2,E10, ,99_Sin especificar,1
46,1,Y34,,13_60 a 64,3
54,1,B39,,14_65 a 69,1
02,1,B23,,15_70 a 74,1
18,2,C83,,17_80 y más,2
50,1,G61,,10_45 a 49,1
74,2,N30,,17_80 y más,1
42,1,J98,,14_65 a 69,1
10,1,J93,,17_80 y más,1
70,2,R57,,17_80 y más,2
10,2,I50,,05_20 a 24,1
02,1,E11, ,11_50 a 54,1
82,1,V14,,02_1 a 9,1
50,2,I49,,11_50 a 54,1
50,2,I71,,12_55 a 59,2
66,2,X70,,09_40 a 44,2
90,2,D64,,14_65 a 69,1
54,2,C50,,16_75 a 79,9
66,1,C02,,14_65 a 69,1
06,1,M00, ,13_60 a 64,2
14,1,J96, ,11_50 a 54,1
58,2,R95,,01_Menor de 1 año,1
99,1,N17,,09_40 a 44,1
90,2,C53,,17_80 y más,2
34,2,I51,,15_70 a 74,2
38,1,I42,,15_70 a 74,2
30,1,K55,,13_60 a 64,1
62,1,C73,,15_70 a 74,1
66,2,K42,,14_65 a 69,1
06,2,M32, ,06_25 a 29,7
14,2,K56, ,16_75 a 79,10
26,1,G12,,13_60 a 64,1
02,2,F06,,17_80 y más,2
34,1,G95,,13_60 a 64,1
30,1,R99,,10_45 a 49,15
46,1,C78,,16_75 a 79,1
06,1,X09,,02_1 a 9,1
94,2,I50,,17_80 y más,1
38,1,V09,,06_25 a 29,2
50,2,V44,,08_35 a 39,1
06,2,D47, ,12_55 a 59,3
26,2,I64,,10_45 a 49,1
06,2,K55,,15_70 a 74,1
10,1,V47,,06_25 a 29,2
10,2,R99,,03_10 a 14,1
58,2,C22,,11_50 a 54,1
02,2,R57, ,11_50 a 54,1
14,1,I85, ,10_45 a 49,2
50,2,D59,,16_75 a 79,2
06,2,C71,,14_65 a 69,4
26,1,J18,,07_30 a 34,2
30,2,G12,,12_55 a 59,2
30,1,R00,,10_45 a 49,1
06,1,K74, ,16_75 a 79,76
98,1,J44,,17_80 y más,1
50,2,M34,,13_60 a 64,1
66,1,C22,,13_60 a 64,5
06,2,Y34, ,08_35 a 39,5
02,2,B23,,10_45 a 49,3
06,1,V29,,10_45 a 49,1
82,1,X96,,05_20 a 24,2
06,2,O00,M,05_20 a 24,2
06,1,Y34,,08_35 a 39,2
02,2,G98,,16_75 a 79,1
70,1,I70,,16_75 a 79,2
62,1,B57,,09_40 a 44,1
18,1,K70,,10_45 a 49,3
54,2,N18,,12_55 a 59,4
58,2,I44,,17_80 y más,1
14,2,C25, ,14_65 a 69,31
22,1,E86,,17_80 y más,4
34,2,I10,,14_65 a 69,3
18,1,C60,,07_30 a 34,1
06,2,Q93,,01_Menor de 1 año,1
82,1,N19,,14_65 a 69,8
14,2,B21, ,12_55 a 59,1
02,2,Q43,,01_Menor de 1 año,1
10,1,G61,,10_45 a 49,1
06,1,G91, ,13_60 a 64,3
02,2,I71,,13_60 a 64,4
06,1,D44, ,12_55 a 59,1
50,2,C55,,10_45 a 49,2
26,1,N39,,02_1 a 9,1
50,1,I51,,17_80 y más,4
46,1,C34,,14_65 a 69,3
34,1,I61,,12_55 a 59,4
18,1,I47,,13_60 a 64,1
06,1,V89, ,10_45 a 49,8
22,1,Q24,,02_1 a 9,1
50,2,J44,,16_75 a 79,28
62,1,F03,,16_75 a 79,4
26,1,C64,,15_70 a 74,4
06,1,B23,,16_75 a 79,1
10,1,I50,,14_65 a 69,3
70,2,L08,,12_55 a 59,1
70,2,D56,,17_80 y más,1
86,1,R09,,14_65 a 69,1
02,2,L08,,17_80 y más,38
78,2,N18,,17_80 y más,4
26,1,V89,,06_25 a 29,1
86,2,J96,,16_75 a 79,7
58,1,C06,,13_60 a 64,1
90,1,V29,,08_35 a 39,3
46,1,K63, ,14_65 a 69,1
02,1,C32,,10_45 a 49,1
06,2,X91, ,06_25 a 29,2
06,1,M62, ,17_80 y más,1
02,2,D05,,12_55 a 59,1
82,2,I10,,11_50 a 54,2
18,2,I10,,13_60 a 64,1
14,1,K70, ,13_60 a 64,10
99,1,J98, ,09_40 a 44,2
18,2,P83,,01_Menor de 1 año,1
82,1,B21,,14_65 a 69,1
58,2,G20,,16_75 a 79,1
34,1,C34,,14_65 a 69,17
50,1,K65,,16_75 a 79,2
66,2,I31,,17_80 y más,1
14,1,V68, ,12_55 a 59,1
50,2,P21,,01_Menor de 1 año,5
06,1,E85, ,14_65 a 69,1
06,1,I61,,11_50 a 54,9
50,2,C53,,11_50 a 54,7
58,2,C15,,11_50 a 54,1
14,1,I26, ,04_15 a 19,1
06,2,I42, ,14_65 a 69,23
34,1,C25,,10_45 a 49,3
06,1,I49, ,06_25 a 29,2
06,1,C20, ,99_Sin especificar,1
06,2,Y83,,15_70 a 74,1
42,2,C43,,12_55 a 59,1
82,1,K70,,06_25 a 29,1
78,2,J18,,12_55 a 59,2
50,2,D44,,11_50 a 54,1
06,2,C48, ,08_35 a 39,1
90,1,I69,,16_75 a 79,5
34,1,E14,,10_45 a 49,2
06,1,K70, ,10_45 a 49,15
86,1,R99,,04_15 a 19,3
54,2,C43,,13_60 a 64,1
66,1,Q67,,03_10 a 14,1
86,1,C92, ,09_40 a 44,1
06,1,I42,,14_65 a 69,11
82,1,G35,,11_50 a 54,1
30,1,I44,,15_70 a 74,1
78,2,X59,,17_80 y más,1
06,1,D44, ,16_75 a 79,1
22,2,Y26,,12_55 a 59,1
82,1,Q77,,12_55 a 59,1
50,2,X00,,16_75 a 79,1
82,1,G91,,02_1 a 9,1
06,2,D37, ,16_75 a 79,2
22,2,D38,,11_50 a 54,1
62,2,E14,,11_50 a 54,1
66,2,K65,,17_80 y más,4
99,1,I21,,13_60 a 64,1
06,2,R99,,11_50 a 54,2
14,1,Y14, ,14_65 a 69,1
30,1,J96,,10_45 a 49,1
02,1,K76,,12_55 a 59,1
06,2,K74, ,16_75 a 79,29
22,1,D37,,15_70 a 74,2
50,2,I71,,16_75 a 79,4
78,1,C34,,10_45 a 49,1
06,2,C16, ,05_20 a 24,1
06,2,E86, ,16_75 a 79,36
66,1,K92,,17_80 y más,14
18,1,C92,,17_80 y más,1
90,2,I95,,16_75 a 79,3
06,1,C43,,14_65 a 69,2
98,1,V95,,07_30 a 34,1
86,1,C44,,16_75 a 79,2
66,2,E43,,13_60 a 64,1
14,1,I26, ,12_55 a 59,3
02,1,C67,,16_75 a 79,18
02,2,K74,,17_80 y más,7
22,1,C49,,10_45 a 49,1
90,1,I27,,17_80 y más,1
82,2,L08,,17_80 y más,31
50,2,I61,,13_60 a 64,6
06,2,G20, ,17_80 y más,58
90,1,X78,,06_25 a 29,1
94,2,C53,,08_35 a 39,1
94,2,X70,,05_20 a 24,1
