"term","estimate","std.error","statistic","p.value","age","cause","anio_def","coef","se"
"(Intercept)",6.48633807412066e-16,1.72906564605262e-15,0.375135443175838,0.708404840817304,"01.menor a 20 anios","covid",NA,NA,NA
"covid",1,2.07414391112285e-16,4821266232479703,0,"01.menor a 20 anios","covid",NA,NA,NA
"factor(anio_def)2016",-1.83520970995448e-15,1.8193902398818e-15,-1.00869492961208,0.315710447826823,"01.menor a 20 anios","covid",NA,NA,NA
"factor(anio_def)2017",-1.83520970995448e-15,1.8193902398818e-15,-1.00869492961208,0.315710447826823,"01.menor a 20 anios","covid",NA,NA,NA
"factor(anio_def)2018",-1.83520970995448e-15,1.8193902398818e-15,-1.00869492961208,0.315710447826823,"01.menor a 20 anios","covid",NA,NA,NA
"factor(anio_def)2019",-1.83520970995448e-15,1.8193902398818e-15,-1.00869492961208,0.315710447826823,"01.menor a 20 anios","covid",NA,NA,NA
"factor(anio_def)2020",-1.91442018257028e-15,2.05364264844995e-15,-0.932207063393062,0.353617726628922,"01.menor a 20 anios","covid",NA,NA,NA
"factor(anio_def)2021",-1.53684310095561e-15,1.9866477662985e-15,-0.773586101686781,0.441116729959295,"01.menor a 20 anios","covid",NA,NA,NA
"factor(anio_def)2022",-1.92584843480568e-15,1.73292955059737e-15,-1.11132528967598,0.269262794969747,"01.menor a 20 anios","covid",NA,NA,NA
"factor(anio_def)2023",-1.8300531058123e-15,1.94407150044916e-15,-0.941350719554029,0.348938087314634,"01.menor a 20 anios","covid",NA,NA,NA
"factor(anio_def)2024",-1.64610690481655e-15,1.68338155334363e-15,-0.977857278729805,0.330654858535781,"01.menor a 20 anios","covid",NA,NA,NA
"factor(month)2",1.80621599770285e-15,2.25740354179906e-15,0.800129867902737,0.425653064948592,"01.menor a 20 anios","covid",NA,NA,NA
"factor(month)3",-2.0706192436917e-16,3.73270988707955e-16,-0.554722790233166,0.580401822176184,"01.menor a 20 anios","covid",NA,NA,NA
"factor(month)4",-1.61548722494872e-16,3.88229884574965e-16,-0.41611614384538,0.678273541193562,"01.menor a 20 anios","covid",NA,NA,NA
"factor(month)5",-1.10371628129761e-16,3.94091255966121e-16,-0.280066168581141,0.780042136026786,"01.menor a 20 anios","covid",NA,NA,NA
"factor(month)6",-2.47008290976641e-16,3.90368283125133e-16,-0.63275706980903,0.528428582342535,"01.menor a 20 anios","covid",NA,NA,NA
"factor(month)7",-2.53215329360598e-16,3.92405240587111e-16,-0.64529038649367,0.520310979454614,"01.menor a 20 anios","covid",NA,NA,NA
"factor(month)8",-2.34425902524168e-16,4.06846806587572e-16,-0.576201898917225,0.565855815990409,"01.menor a 20 anios","covid",NA,NA,NA
"factor(month)9",-1.78005336731625e-16,3.84031026144652e-16,-0.463518113415596,0.644064524878885,"01.menor a 20 anios","covid",NA,NA,NA
"factor(month)10",-3.43927454330204e-16,4.16823309101023e-16,-0.825115694877918,0.411394958200305,"01.menor a 20 anios","covid",NA,NA,NA
"factor(month)11",-1.0315591977146e-16,3.94153372150217e-16,-0.261715177542985,0.794113655589204,"01.menor a 20 anios","covid",NA,NA,NA
"factor(month)12",-2.26915543729219e-16,3.75874883857426e-16,-0.603699671019494,0.547497433610234,"01.menor a 20 anios","covid",NA,NA,NA
"covid:factor(anio_def)2020",4.63014303005044e-17,2.25514673824121e-16,0.205314490251818,0.837770386781708,"01.menor a 20 anios","covid",NA,NA,NA
"covid:factor(anio_def)2021",3.37118960300667e-18,2.13912437267307e-16,0.0157596708544534,0.987459524060207,"01.menor a 20 anios","covid",NA,NA,NA
"covid:factor(anio_def)2022",7.15040388468854e-17,2.03944895191275e-16,0.350604700254074,0.726669412574868,"01.menor a 20 anios","covid",NA,NA,NA
"covid:factor(anio_def)2023",1.3283641957907e-16,2.99847738684507e-16,0.44301291102561,0.658774259322819,"01.menor a 20 anios","covid",NA,NA,NA
NA,NA,NA,NA,NA,"01.menor a 20 anios","covid",2015,1,2.07414391112285e-16
NA,NA,NA,NA,NA,"01.menor a 20 anios","covid",2016,NA,2.07414391112285e-16
NA,NA,NA,NA,NA,"01.menor a 20 anios","covid",2017,NA,2.07414391112285e-16
NA,NA,NA,NA,NA,"01.menor a 20 anios","covid",2018,NA,2.07414391112285e-16
NA,NA,NA,NA,NA,"01.menor a 20 anios","covid",2019,NA,2.07414391112285e-16
NA,NA,NA,NA,NA,"01.menor a 20 anios","covid",2020,1,3.70064196974922e-17
NA,NA,NA,NA,NA,"01.menor a 20 anios","covid",2021,1,1.61224493568944e-17
NA,NA,NA,NA,NA,"01.menor a 20 anios","covid",2022,1,2.53192918242308e-17
NA,NA,NA,NA,NA,"01.menor a 20 anios","covid",2023,1,1.51591185298127e-16
NA,NA,NA,NA,NA,"01.menor a 20 anios","covid",2024,NA,2.07414391112285e-16
"(Intercept)",3.52715002501277,6.55022135988073,0.53847798894494,0.591519968816283,"01.menor a 20 anios","resp",NA,NA,NA
"covid",1.63583207313997,1.719585508407,0.951294405042631,0.343894579401897,"01.menor a 20 anios","resp",NA,NA,NA
"factor(anio_def)2016",12.899999999999,8.09573456440949,1.59343168891802,0.114420557375826,"01.menor a 20 anios","resp",NA,NA,NA
"factor(anio_def)2017",0.133333333331379,6.34485343151757,0.0210144071522687,0.983278705969067,"01.menor a 20 anios","resp",NA,NA,NA
"factor(anio_def)2018",2.69999999999708,5.78961617785102,0.46635215825296,0.642042403647627,"01.menor a 20 anios","resp",NA,NA,NA
"factor(anio_def)2019",5.09999999999702,5.57248715236437,0.915210723784822,0.362422844046213,"01.menor a 20 anios","resp",NA,NA,NA
"factor(anio_def)2020",-15.9690457097634,10.7693853943867,-1.48281866837888,0.141467620386055,"01.menor a 20 anios","resp",NA,NA,NA
"factor(anio_def)2021",-5.05944240606933,7.16190964923716,-0.706437619833452,0.481663414528032,"01.menor a 20 anios","resp",NA,NA,NA
"factor(anio_def)2022",5.06883492558887,7.90148256227242,0.641504285511086,0.522756267129356,"01.menor a 20 anios","resp",NA,NA,NA
"factor(anio_def)2023",-7.08799215592782,5.47680635095858,-1.29418345322493,0.198772606106077,"01.menor a 20 anios","resp",NA,NA,NA
"factor(anio_def)2024",-6.9828460670519,5.74654521323099,-1.21513810610494,0.227356758353314,"01.menor a 20 anios","resp",NA,NA,NA
"factor(month)2",1.3425500950761,6.2502339662988,0.214799974259382,0.830388593155346,"01.menor a 20 anios","resp",NA,NA,NA
"factor(month)3",5.31027030237282,5.59344761230304,0.949373386584088,0.344865230558243,"01.menor a 20 anios","resp",NA,NA,NA
"factor(month)4",-13.0733876307285,5.32275871110047,-2.45613005215966,0.0158805958894316,"01.menor a 20 anios","resp",NA,NA,NA
"factor(month)5",-21.1522751189088,7.01624342311352,-3.01475787587802,0.0033064982978187,"01.menor a 20 anios","resp",NA,NA,NA
"factor(month)6",-7.54765743978105,11.9254367801102,-0.632904067075296,0.52833299642302,"01.menor a 20 anios","resp",NA,NA,NA
"factor(month)7",-17.0282866036458,8.25894303563345,-2.06179974001234,0.0419871186548175,"01.menor a 20 anios","resp",NA,NA,NA
"factor(month)8",-25.5615040165251,6.41046758852737,-3.98746326434468,0.000132006187830079,"01.menor a 20 anios","resp",NA,NA,NA
"factor(month)9",-12.3769592256403,5.31075820383823,-2.33054467000495,0.0219160843972792,"01.menor a 20 anios","resp",NA,NA,NA
"factor(month)10",2.77248749627438,6.59375372642501,0.420471799722123,0.675100500799785,"01.menor a 20 anios","resp",NA,NA,NA
