anio,categoria,n,Q1,Q2,Q3
2005,Homicidios,314,22,37,57
2006,Homicidios,292,22,32,52
2007,Homicidios,286,17,37,57
2008,Homicidios,297,22,32,52
2009,Homicidios,271,22,37,54.5
2010,Homicidios,300,22,37,52
2011,Homicidios,299,22,32,52
2012,Homicidios,297,22,37,57
2013,Homicidios,294,22,37,57
2014,Homicidios,318,22,37,52
2015,Homicidios,311,22,32,52
2016,Homicidios,309,22,37,52
2017,Homicidios,289,22,37,52
2018,Homicidios,279,22,37,57
2019,Homicidios,284,22,37,52
2020,Homicidios,216,22,32,47
2021,Homicidios,208,22,32,47
2022,Homicidios,246,22,37,55.8
2023,Homicidios,275,27,37,52
2024,Homicidios,184,30,30,55
2005,R99,6918,72,85,85
2006,R99,6666,72,85,85
2007,R99,8015,72,85,85
2008,R99,7950,72,85,85
2009,R99,8744,72,85,85
2010,R99,9122,72,85,85
2011,R99,9365,72,85,85
2012,R99,8671,72,85,85
2013,R99,9024,72,85,85
2014,R99,7742,72,85,85
2015,R99,6070,72,85,85
2016,R99,6772,72,85,85
2017,R99,5997,72,85,85
2018,R99,6245,72,85,85
2019,R99,6809,72,85,85
2020,R99,7805,72,85,85
2021,R99,8652,72,85,85
2022,R99,9504,72,85,85
2023,R99,8560,72,85,85
2024,R99,10484,75,85,85
2005,Y20-Y25/Y28-Y30,155,22,32,52
2006,Y20-Y25/Y28-Y30,129,22,32,57
2007,Y20-Y25/Y28-Y30,166,22,37,52
2008,Y20-Y25/Y28-Y30,231,22,37,52
2009,Y20-Y25/Y28-Y30,232,22,37,57
2010,Y20-Y25/Y28-Y30,231,22,37,62
2011,Y20-Y25/Y28-Y30,316,25.8,37,57
2012,Y20-Y25/Y28-Y30,262,22,37,52
2013,Y20-Y25/Y28-Y30,276,22,37,52
2014,Y20-Y25/Y28-Y30,278,22,37,57
2015,Y20-Y25/Y28-Y30,259,22,32,57
2016,Y20-Y25/Y28-Y30,281,22,37,57
2017,Y20-Y25/Y28-Y30,359,22,37,57
2018,Y20-Y25/Y28-Y30,369,22,37,52
2019,Y20-Y25/Y28-Y30,436,22,32,52
2020,Y20-Y25/Y28-Y30,353,22,37,52
2021,Y20-Y25/Y28-Y30,459,27,37,52
2022,Y20-Y25/Y28-Y30,454,22,32,52
2023,Y20-Y25/Y28-Y30,450,27,37,52
2024,Y20-Y25/Y28-Y30,414,30,30,55
