provincia,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Buenos Aires,334,275,373,406,359,306,368,318,340,372,474,511,606,677,704,629,714,823,737,754
CABA,42,38,47,88,79,65,102,115,96,118,91,115,121,115,111,77,94,88,121,109
Catamarca,2,2,1,3,0,5,1,4,8,2,0,3,4,4,7,4,1,3,0,0
Chaco,17,17,11,15,13,23,21,27,26,32,38,20,25,24,28,23,27,20,22,18
Chubut,8,7,6,8,10,7,3,7,7,12,4,10,5,7,12,8,10,6,10,0
Cordoba,30,45,46,33,44,66,67,72,65,91,76,91,91,96,103,81,124,102,92,84
Corrientes,14,14,9,9,7,36,29,38,31,26,39,34,37,27,17,11,7,4,12,13
Entre Rios,14,14,12,17,10,15,13,12,15,20,14,22,20,17,18,21,20,15,18,16
Formosa,5,4,7,9,13,7,8,10,6,10,13,13,12,12,23,11,20,14,9,6
Jujuy,17,7,11,9,21,13,7,14,10,8,9,12,12,13,4,11,4,4,2,0
La Pampa,2,3,3,4,4,2,3,6,5,6,2,2,2,3,2,2,1,5,2,0
La Rioja,5,6,3,7,4,7,9,17,8,13,7,5,8,6,3,1,4,8,5,0
Mendoza,18,11,14,19,14,16,22,22,18,24,22,32,22,26,35,19,34,31,22,21
Misiones,30,20,12,25,29,11,30,16,12,16,8,7,11,15,14,12,4,6,14,5
Neuquen,11,5,12,11,9,9,2,10,6,9,8,11,6,8,6,20,13,4,16,0
Prov.98,0,4,3,1,0,3,2,1,1,1,2,9,5,1,1,1,1,1,0,0
Prov.99,2,3,5,10,4,3,7,3,10,8,13,16,10,43,28,10,14,36,42,132
Rio Negro,14,20,18,9,6,9,12,11,18,19,8,11,11,24,10,10,12,11,14,0
Salta,11,119,135,26,22,22,23,21,19,17,15,16,28,17,14,14,16,10,14,0
San Juan,6,6,6,6,2,8,7,8,3,2,2,18,13,17,9,14,7,11,7,0
San Luis,6,6,5,4,3,8,1,2,6,7,4,9,5,8,20,11,16,22,24,0
Santa Cruz,6,6,9,2,6,8,2,8,2,4,10,5,9,5,9,2,7,5,6,0
Santa Fe,55,57,49,75,87,190,189,95,113,87,79,96,103,108,89,86,99,112,103,54
Santiago del Estero,25,21,17,12,22,38,20,22,26,26,15,21,22,8,17,15,18,15,21,0
Tierra del Fuego,5,1,1,2,3,1,2,1,2,3,1,2,1,0,2,0,1,4,2,0
Tucuman,22,10,16,15,12,17,18,14,17,24,19,21,17,26,23,29,17,11,19,15
