provincia,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Buenos Aires,1875,1700,2124,2405,2256,1884,1971,2008,2242,2445,2443,2621,2972,2943,3105,2909,3279,3608,3359,3420
CABA,217,222,257,374,355,390,448,392,443,522,395,462,407,445,404,363,339,344,398,374
Catamarca,12,4,7,7,3,10,11,14,12,9,5,9,11,10,17,13,8,11,5,0
Chaco,90,98,72,80,80,133,102,164,183,152,173,176,169,141,138,147,120,102,115,89
Chubut,60,60,49,72,78,53,55,84,70,83,45,67,58,70,60,50,52,46,56,0
Cordoba,139,189,191,203,212,265,376,340,360,380,363,422,384,404,405,376,513,459,328,367
Corrientes,68,60,68,60,62,137,150,152,162,148,171,158,131,112,70,56,50,29,47,60
Entre Rios,83,93,69,104,75,63,64,88,82,99,85,101,88,108,104,94,107,82,84,96
Formosa,44,40,51,48,55,51,55,53,70,64,72,76,55,66,88,50,96,42,23,25
Jujuy,63,48,44,35,71,49,51,47,57,44,55,62,37,49,18,28,21,15,13,0
La Pampa,11,8,16,12,19,12,17,18,20,11,13,13,7,19,9,7,9,9,7,0
La Rioja,25,18,14,25,13,31,57,64,57,54,41,28,30,25,14,11,16,23,21,0
Mendoza,135,156,125,137,136,122,142,142,151,188,188,172,142,145,174,146,147,150,114,108
Misiones,150,129,94,129,133,68,108,101,103,76,63,72,57,53,59,45,42,58,50,40
Neuquen,54,47,51,56,58,55,47,70,61,69,59,57,39,38,45,84,64,47,51,0
Prov.98,9,18,43,10,5,42,7,5,8,14,12,118,40,5,13,6,4,8,3,0
Prov.99,56,26,30,61,67,50,60,32,51,61,80,101,72,167,139,118,123,150,220,716
Rio Negro,80,112,75,41,60,69,76,70,101,94,70,67,71,80,61,84,77,65,59,0
Salta,83,315,350,129,109,96,107,92,100,85,80,67,124,93,70,84,61,68,56,0
San Juan,37,16,24,34,25,28,34,22,27,17,23,51,58,61,48,54,35,24,27,0
San Luis,21,25,20,19,16,24,12,17,32,30,32,49,29,32,58,49,68,64,58,0
Santa Cruz,28,24,33,22,28,34,34,43,25,45,43,51,40,34,34,20,32,22,21,0
Santa Fe,289,293,342,493,494,767,721,609,722,683,607,632,563,652,547,578,619,534,555,317
Santiago del Estero,111,96,110,64,97,159,113,118,105,125,83,92,57,36,86,60,69,76,84,0
Tierra del Fuego,11,4,5,8,12,8,5,8,6,8,5,8,3,7,6,3,7,8,5,0
Tucuman,99,79,76,57,84,74,109,103,113,143,118,143,136,152,150,120,106,97,83,73
