provincia,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Buenos Aires,1536,1423,1744,1990,1882,1573,1595,1677,1889,2062,1968,2104,2334,2252,2378,2194,2481,2785,2619,2663
CABA,175,184,210,286,276,325,346,277,347,404,304,347,286,330,293,284,243,256,277,265
Catamarca,10,2,6,4,3,5,10,10,4,7,5,6,7,6,10,9,7,8,5,0
Chaco,73,81,61,65,67,110,81,137,157,120,135,156,144,117,110,123,93,82,93,71
Chubut,51,52,43,64,68,46,52,76,63,71,41,57,53,63,48,42,42,40,46,0
Cordoba,109,144,145,170,168,199,309,268,295,289,287,331,293,308,302,295,389,357,236,283
Corrientes,54,46,59,50,55,100,118,114,126,121,130,124,94,85,53,44,43,24,35,47
Entre Rios,69,79,57,87,65,48,51,76,67,79,71,79,68,91,86,73,87,67,66,80
Formosa,38,36,44,39,42,44,47,43,64,54,59,63,43,54,64,37,76,28,14,19
Jujuy,46,41,33,26,50,36,44,33,47,36,46,50,25,36,14,17,17,11,11,0
La Pampa,9,5,13,7,15,10,14,12,15,5,11,11,5,16,7,5,8,4,5,0
La Rioja,20,12,11,18,9,24,48,47,49,41,34,23,22,19,11,10,12,15,16,0
Mendoza,117,145,110,118,121,106,120,120,133,164,166,140,120,119,139,127,113,119,92,87
Misiones,116,109,79,103,103,57,78,85,91,60,55,65,46,38,45,33,38,52,36,35
Neuquen,42,42,39,45,49,46,45,60,55,60,51,46,33,30,39,64,51,43,35,0
Prov.98,9,14,39,9,5,39,5,4,7,13,10,108,35,4,12,5,3,7,3,0
Prov.99,53,23,25,49,62,47,52,28,40,53,67,85,62,117,103,91,88,114,171,580
Rio Negro,66,92,57,32,54,60,64,58,83,75,62,56,60,56,51,73,65,54,45,0
Salta,72,196,215,103,87,74,84,71,81,68,65,51,96,76,56,70,45,58,42,0
San Juan,31,10,18,28,23,20,27,14,24,15,21,33,45,44,39,40,28,13,20,0
San Luis,15,19,15,15,13,16,11,15,26,23,28,40,24,24,38,38,52,42,34,0
Santa Cruz,22,18,24,19,22,26,32,35,23,41,33,46,31,29,25,18,25,17,15,0
Santa Fe,234,236,293,418,407,577,532,514,609,596,528,536,460,544,458,492,520,422,452,263
Santiago del Estero,84,75,93,52,75,121,93,94,79,98,68,71,35,28,69,45,51,61,63,0
Tierra del Fuego,6,3,4,6,9,7,3,7,4,5,4,6,2,7,4,3,6,4,3,0
Tucuman,77,69,60,42,71,57,91,88,95,119,99,122,119,126,127,91,88,86,64,58
