provincia,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Buenos Aires,110,107,100,103,99,127,121,125,127,107,136,126,119,80,70,68,57,68,55,47
CABA,22,16,16,16,7,9,13,4,5,2,23,4,1,2,1,0,1,3,3,1
Catamarca,2,1,1,3,0,4,1,3,8,2,0,2,4,2,7,2,1,3,0,0
Chaco,14,14,10,8,10,11,14,11,10,13,5,7,8,10,17,11,11,8,15,10
Chubut,5,6,5,5,2,5,2,6,6,10,3,7,3,6,9,5,4,1,2,0
Cordoba,22,26,22,16,12,21,13,14,17,15,15,18,15,22,24,14,21,19,27,18
Corrientes,7,8,3,5,4,7,7,5,3,2,10,6,4,6,9,4,5,3,8,7
Entre Rios,11,4,10,14,9,11,9,8,12,17,10,16,10,10,11,8,6,2,8,9
Formosa,5,4,6,4,11,6,5,8,3,7,9,6,7,5,10,3,8,8,5,4
Jujuy,7,3,6,7,15,5,5,5,4,5,2,6,8,7,2,10,3,3,2,0
La Pampa,1,3,3,4,4,2,3,4,5,4,2,1,0,2,2,1,0,3,1,0
La Rioja,2,3,2,4,0,3,1,3,0,1,1,0,0,1,2,1,1,2,1,0
Mendoza,17,10,12,19,13,9,18,21,14,19,12,19,11,16,10,5,16,12,11,10
Misiones,16,14,10,16,20,9,23,13,10,14,7,7,8,11,13,11,2,6,13,5
Neuquen,9,4,11,5,6,6,2,5,4,9,5,10,5,6,4,4,7,2,11,0
Prov.98,0,4,1,1,0,1,2,0,0,1,0,1,1,0,0,0,0,1,0,0
Prov.99,0,2,1,2,1,1,3,1,0,0,3,2,2,3,9,1,0,3,9,44
Rio Negro,4,4,6,6,3,5,6,4,9,10,0,5,1,6,3,0,3,4,3,0
Salta,2,9,7,5,10,7,10,14,14,14,15,10,18,8,13,10,15,7,10,0
San Juan,2,3,4,5,1,2,4,5,3,2,2,4,4,4,3,3,3,1,1,0
San Luis,6,6,4,4,3,8,0,1,5,6,2,4,4,7,2,3,2,2,7,0
Santa Cruz,3,3,4,2,1,5,2,4,1,2,3,2,1,0,4,1,0,4,1,0
Santa Fe,31,24,23,24,24,14,20,21,17,35,36,33,39,53,33,37,28,72,62,24
Santiago del Estero,3,7,4,3,6,8,5,6,7,7,4,6,10,3,7,4,6,8,9,0
Tierra del Fuego,3,0,1,2,2,1,1,1,2,3,1,2,1,0,2,0,0,2,0,0
Tucuman,13,8,15,15,11,16,10,7,10,11,8,8,10,10,18,19,10,5,16,9
