provincia,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Buenos Aires,773,773,699,772,754,871,804,1083,1047,949,932,841,697,530,503,546,464,384,362,320
CABA,155,144,97,97,62,46,53,40,37,19,120,17,11,11,3,7,5,11,8,6
Catamarca,10,3,7,7,2,8,6,12,11,7,4,7,10,6,16,7,6,9,5,8
Chaco,82,79,61,58,67,62,50,46,57,62,36,61,56,51,61,82,51,43,59,45
Chubut,53,51,45,57,50,41,40,73,66,77,40,59,49,54,44,29,26,25,22,31
Cordoba,92,76,78,63,52,45,56,44,56,48,45,63,58,63,81,58,82,79,108,103
Corrientes,46,37,38,39,34,43,31,39,34,36,46,24,24,29,35,28,34,21,33,29
Entre Rios,56,45,46,76,66,52,55,77,75,83,60,65,55,71,62,44,37,27,33,37
Formosa,38,33,36,22,42,40,40,46,56,52,44,50,31,30,41,20,31,31,13,16
Jujuy,21,27,22,22,36,22,27,25,36,30,28,25,23,24,13,26,16,11,10,17
La Pampa,7,8,14,8,16,10,14,14,18,7,12,8,5,16,7,4,5,6,4,5
La Rioja,10,6,7,10,1,12,7,7,6,4,7,4,4,3,7,4,2,7,5,4
Mendoza,131,149,121,134,123,103,130,135,132,163,145,134,99,101,73,67,84,72,59,76
Misiones,91,96,85,90,86,61,93,88,90,69,58,65,50,48,52,42,39,56,43,34
Neuquen,43,39,44,41,51,48,46,54,52,60,49,49,36,33,35,46,44,36,32,32
Prov.98,5,12,14,6,1,20,4,3,3,6,4,42,18,1,6,2,3,5,3,6
Prov.99,28,15,17,22,23,14,16,6,2,5,27,30,7,29,21,29,26,24,50,36
Rio Negro,33,37,23,30,42,39,39,34,52,49,49,32,24,17,20,19,24,20,21,19
Salta,39,40,34,27,43,41,44,62,65,66,69,48,87,58,60,63,47,48,41,49
San Juan,22,9,15,21,20,20,26,17,26,14,20,19,19,13,10,11,10,4,11,10
San Luis,21,24,19,18,16,23,10,13,24,26,29,24,13,14,8,13,15,15,15,16
Santa Cruz,14,14,22,12,7,17,17,15,15,14,12,17,8,6,19,12,10,16,11,10
Santa Fe,185,146,159,127,138,126,108,138,162,434,402,344,230,339,277,327,301,374,385,170
Santiago del Estero,14,24,20,12,20,29,23,22,16,23,22,33,22,14,38,17,18,25,26,23
Tierra del Fuego,4,3,4,7,8,8,3,5,2,7,3,7,2,5,5,1,4,5,3,2
Tucuman,64,69,68,56,73,67,66,54,59,58,61,61,90,79,115,64,68,61,62,45
