provincia,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Buenos Aires,661,665,594,666,647,742,680,952,913,840,795,713,568,447,429,460,388,316,307,273
CABA,133,128,81,81,55,37,40,36,32,17,97,13,10,9,2,7,4,8,5,5
Catamarca,8,2,6,4,2,4,5,9,3,5,4,5,6,4,9,5,5,6,5,7
Chaco,68,65,51,50,57,51,36,35,47,49,31,54,48,41,44,71,40,35,44,35
Chubut,47,45,40,52,48,36,38,66,60,67,37,52,46,48,35,24,22,24,20,26
Cordoba,70,50,56,47,40,24,43,30,39,33,30,45,43,41,57,44,61,60,81,85
Corrientes,39,29,35,33,30,36,24,34,28,34,36,18,20,23,26,24,29,18,25,22
Entre Rios,45,41,36,62,57,41,46,69,63,66,50,49,45,61,51,36,31,25,25,28
Formosa,33,29,30,18,31,34,35,38,53,45,35,44,24,25,31,15,23,23,8,12
Jujuy,14,24,16,15,21,17,22,20,32,25,26,19,15,17,11,16,13,8,8,11
La Pampa,6,5,11,4,12,8,11,10,13,3,10,7,5,14,5,3,5,3,3,4
La Rioja,8,3,5,6,1,9,6,4,6,3,6,4,4,2,5,3,1,5,4,3
Mendoza,114,139,108,115,109,94,112,114,118,144,133,115,88,85,63,62,68,60,48,66
Misiones,74,82,72,73,66,52,70,75,80,55,51,58,42,37,39,31,37,50,30,29
Neuquen,34,35,33,36,45,42,44,49,48,51,44,39,31,27,31,42,37,34,21,28
Prov.98,5,8,12,5,1,19,2,3,3,5,4,40,17,1,6,2,3,4,3,6
Prov.99,28,13,16,19,22,13,13,5,2,5,24,28,5,24,11,22,24,21,40,33
Rio Negro,29,33,17,24,39,34,33,30,43,39,49,27,23,11,17,19,21,16,18,16
Salta,37,31,27,22,33,34,34,48,51,52,54,38,69,50,47,53,32,41,31,43
San Juan,20,6,11,16,19,18,22,12,23,12,18,15,15,9,7,8,7,3,10,7
San Luis,15,18,15,14,13,15,10,12,19,20,27,20,9,7,6,10,13,13,8,13
Santa Cruz,11,11,18,9,6,12,15,11,14,12,9,15,7,6,15,11,10,12,10,9
Santa Fe,154,122,136,103,114,112,88,117,145,399,366,311,191,286,244,290,273,302,323,146
Santiago del Estero,11,17,16,9,14,21,18,15,9,16,18,27,12,11,31,13,12,17,17,16
Tierra del Fuego,1,3,3,5,6,7,2,4,0,4,2,5,1,5,3,1,4,3,3,2
Tucuman,51,61,53,41,62,51,56,47,49,47,53,53,80,69,97,45,58,56,46,36
