anio,categoria,edad_bracket,muertes
2005,Homicidios,0-19,61
2005,Homicidios,20-39,110
2005,Homicidios,40-49,44
2005,Homicidios,50-59,31
2005,Homicidios,60-69,22
2005,Homicidios,70-79,23
2005,Homicidios,80+,23
2006,Homicidios,0-19,67
2006,Homicidios,20-39,111
2006,Homicidios,40-49,40
2006,Homicidios,50-59,29
2006,Homicidios,60-69,20
2006,Homicidios,70-79,15
2006,Homicidios,80+,10
2007,Homicidios,0-19,74
2007,Homicidios,20-39,84
2007,Homicidios,40-49,34
2007,Homicidios,50-59,25
2007,Homicidios,60-69,23
2007,Homicidios,70-79,28
2007,Homicidios,80+,18
2008,Homicidios,0-19,68
2008,Homicidios,20-39,115
2008,Homicidios,40-49,35
2008,Homicidios,50-59,23
2008,Homicidios,60-69,26
2008,Homicidios,70-79,16
2008,Homicidios,80+,14
2009,Homicidios,0-19,57
2009,Homicidios,20-39,94
2009,Homicidios,40-49,36
2009,Homicidios,50-59,28
2009,Homicidios,60-69,21
2009,Homicidios,70-79,16
2009,Homicidios,80+,19
2010,Homicidios,0-19,43
2010,Homicidios,20-39,127
2010,Homicidios,40-49,35
2010,Homicidios,50-59,35
2010,Homicidios,60-69,25
2010,Homicidios,70-79,22
2010,Homicidios,80+,13
2011,Homicidios,0-19,66
2011,Homicidios,20-39,115
2011,Homicidios,40-49,42
2011,Homicidios,50-59,27
2011,Homicidios,60-69,16
2011,Homicidios,70-79,19
2011,Homicidios,80+,14
2012,Homicidios,0-19,54
2012,Homicidios,20-39,107
2012,Homicidios,40-49,32
2012,Homicidios,50-59,39
2012,Homicidios,60-69,23
2012,Homicidios,70-79,29
2012,Homicidios,80+,13
2013,Homicidios,0-19,41
2013,Homicidios,20-39,124
2013,Homicidios,40-49,37
2013,Homicidios,50-59,33
2013,Homicidios,60-69,28
2013,Homicidios,70-79,20
2013,Homicidios,80+,11
2014,Homicidios,0-19,53
2014,Homicidios,20-39,122
2014,Homicidios,40-49,46
2014,Homicidios,50-59,32
2014,Homicidios,60-69,26
2014,Homicidios,70-79,20
2014,Homicidios,80+,19
2015,Homicidios,0-19,54
2015,Homicidios,20-39,128
2015,Homicidios,40-49,42
2015,Homicidios,50-59,28
2015,Homicidios,60-69,16
2015,Homicidios,70-79,22
2015,Homicidios,80+,21
2016,Homicidios,0-19,49
2016,Homicidios,20-39,126
2016,Homicidios,40-49,38
2016,Homicidios,50-59,36
2016,Homicidios,60-69,27
2016,Homicidios,70-79,20
2016,Homicidios,80+,13
2017,Homicidios,0-19,53
2017,Homicidios,20-39,113
2017,Homicidios,40-49,41
2017,Homicidios,50-59,35
2017,Homicidios,60-69,20
2017,Homicidios,70-79,10
2017,Homicidios,80+,17
2018,Homicidios,0-19,48
2018,Homicidios,20-39,105
2018,Homicidios,40-49,30
2018,Homicidios,50-59,29
2018,Homicidios,60-69,34
2018,Homicidios,70-79,20
2018,Homicidios,80+,13
2019,Homicidios,0-19,49
2019,Homicidios,20-39,101
2019,Homicidios,40-49,44
2019,Homicidios,50-59,31
2019,Homicidios,60-69,20
2019,Homicidios,70-79,23
2019,Homicidios,80+,16
2020,Homicidios,0-19,39
2020,Homicidios,20-39,95
2020,Homicidios,40-49,30
2020,Homicidios,50-59,17
2020,Homicidios,60-69,15
2020,Homicidios,70-79,13
2020,Homicidios,80+,7
2021,Homicidios,0-19,29
2021,Homicidios,20-39,99
