anio,categoria,0-19,20-39,40-49,50-59,60-69,70-79,80+
2005,Homicidios,61,110,44,31,22,23,23
2006,Homicidios,67,111,40,29,20,15,10
2007,Homicidios,74,84,34,25,23,28,18
2008,Homicidios,68,115,35,23,26,16,14
2009,Homicidios,57,94,36,28,21,16,19
2010,Homicidios,43,127,35,35,25,22,13
2011,Homicidios,66,115,42,27,16,19,14
2012,Homicidios,54,107,32,39,23,29,13
2013,Homicidios,41,124,37,33,28,20,11
2014,Homicidios,53,122,46,32,26,20,19
2015,Homicidios,54,128,42,28,16,22,21
2016,Homicidios,49,126,38,36,27,20,13
2017,Homicidios,53,113,41,35,20,10,17
2018,Homicidios,48,105,30,29,34,20,13
2019,Homicidios,49,101,44,31,20,23,16
2020,Homicidios,39,95,30,17,15,13,7
2021,Homicidios,29,99,31,17,14,5,13
2022,Homicidios,39,105,27,20,27,21,7
2023,Homicidios,32,118,50,26,16,20,13
2024,Homicidios,24,78,26,19,18,9,10
2005,R99,150,153,161,365,697,1674,3718
2006,R99,156,130,173,384,688,1514,3621
2007,R99,153,168,209,396,777,1792,4520
2008,R99,188,159,196,476,820,1681,4430
2009,R99,188,196,202,442,916,1862,4938
2010,R99,166,143,185,437,910,1885,5396
2011,R99,146,134,212,427,881,1861,5704
2012,R99,137,178,186,410,848,1735,5177
2013,R99,95,138,159,417,907,1756,5552
2014,R99,120,144,149,352,762,1509,4706
2015,R99,117,116,135,270,620,1183,3629
2016,R99,150,140,162,305,716,1351,3948
2017,R99,86,102,140,275,660,1165,3569
2018,R99,123,125,153,286,676,1287,3595
2019,R99,132,130,138,302,782,1400,3925
2020,R99,94,165,168,373,775,1569,4661
2021,R99,82,167,196,387,888,1739,5193
2022,R99,121,169,209,400,931,1965,5709
2023,R99,76,163,202,362,878,1840,5039
2024,R99,69,173,212,407,1071,2274,6278
2005,Y20-Y25/Y28-Y30,38,55,18,12,11,15,6
2006,Y20-Y25/Y28-Y30,24,53,14,12,14,6,6
2007,Y20-Y25/Y28-Y30,35,58,27,20,17,6,3
2008,Y20-Y25/Y28-Y30,38,82,39,28,17,13,14
2009,Y20-Y25/Y28-Y30,50,77,27,29,23,13,13
2010,Y20-Y25/Y28-Y30,43,74,24,28,26,22,14
2011,Y20-Y25/Y28-Y30,48,126,36,41,28,22,15
2012,Y20-Y25/Y28-Y30,57,85,32,41,22,12,13
2013,Y20-Y25/Y28-Y30,62,92,39,33,17,19,14
2014,Y20-Y25/Y28-Y30,56,107,30,31,21,13,20
2015,Y20-Y25/Y28-Y30,48,99,31,30,24,14,13
2016,Y20-Y25/Y28-Y30,54,99,32,37,26,20,13
2017,Y20-Y25/Y28-Y30,70,122,52,36,32,29,18
2018,Y20-Y25/Y28-Y30,71,139,54,42,36,20,7
2019,Y20-Y25/Y28-Y30,78,189,57,45,24,24,19
2020,Y20-Y25/Y28-Y30,59,151,50,36,26,17,14
2021,Y20-Y25/Y28-Y30,60,208,69,39,26,26,31
2022,Y20-Y25/Y28-Y30,89,175,53,52,38,25,22
2023,Y20-Y25/Y28-Y30,57,207,66,37,34,30,19
2024,Y20-Y25/Y28-Y30,56,180,71,41,27,24,15
