provincia,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Buenos Aires,2341,2584,3315,3448,3935,4478,4631,4009,4566,3663,1787,2064,1387,1411,1596,2276,2141,2505,2675,2576
CABA,91,139,132,128,107,119,111,94,129,154,222,100,70,60,261,232,167,166,150,144
Catamarca,42,111,26,40,56,61,71,61,90,53,117,35,28,43,53,51,36,50,57,0
Chaco,173,145,201,238,271,323,283,307,276,340,358,337,333,313,308,267,359,401,379,409
Chubut,6,9,5,4,24,26,6,2,6,7,11,8,18,51,100,143,177,183,106,0
Cordoba,185,177,185,223,294,299,320,275,325,303,377,439,370,394,453,480,644,636,461,794
Corrientes,301,289,324,279,365,348,362,398,401,364,358,415,395,347,408,429,537,590,497,710
Entre Rios,445,437,590,573,546,555,679,680,737,661,596,769,681,715,699,736,972,1192,1048,1293
Formosa,56,71,77,71,53,55,64,52,63,66,60,85,82,98,91,73,120,80,40,79
Jujuy,136,145,185,161,136,176,196,194,203,223,232,294,283,242,234,404,359,363,316,0
La Pampa,25,21,23,27,22,23,4,5,1,1,9,1,3,1,2,0,2,4,4,0
La Rioja,16,27,52,31,28,37,26,39,36,37,42,54,64,67,95,195,239,178,138,0
Mendoza,626,390,171,120,105,92,105,85,62,98,135,137,153,123,213,236,338,301,241,372
Misiones,262,335,292,281,287,202,39,71,20,6,4,8,20,10,7,4,2,19,3,1
Neuquen,5,9,12,8,14,9,12,17,16,11,15,9,14,15,23,38,47,35,20,0
Prov.98,2,5,6,2,5,12,2,2,6,5,10,19,10,5,7,4,5,10,2,0
Prov.99,11,6,10,15,13,11,19,5,3,5,11,9,5,8,21,19,20,25,29,2224
Rio Negro,62,71,94,81,93,91,119,110,89,88,89,98,110,88,112,68,112,126,114,0
Salta,236,138,153,168,99,23,18,140,139,90,22,9,28,139,118,157,111,143,146,0
San Juan,14,12,30,25,11,12,7,17,26,19,35,20,23,25,35,29,47,80,110,0
San Luis,2,2,2,0,0,2,1,1,0,4,3,13,29,64,38,51,72,70,28,0
Santa Cruz,11,12,18,28,26,47,26,40,37,46,48,37,39,34,5,0,3,4,4,0
Santa Fe,1019,1065,1393,1275,1321,1573,1843,1593,1347,1015,1015,1299,1372,1414,1353,1426,1623,1720,1370,1734
Santiago del Estero,250,257,321,243,300,325,318,389,375,405,451,472,447,537,531,440,443,561,509,0
Tierra del Fuego,4,4,3,6,2,1,4,3,0,1,4,3,4,3,3,13,8,14,12,0
Tucuman,630,212,415,497,675,266,122,104,85,89,95,54,53,64,64,70,86,66,124,182
