provincia,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Buenos Aires,4884,5336,6696,6865,7668,8558,8773,7709,8627,7046,3660,4189,2889,3064,3266,4489,4298,4847,4970,4735
CABA,181,253,281,272,231,216,211,185,228,265,332,187,151,129,480,468,307,314,273,246
Catamarca,87,258,57,88,127,125,128,123,184,108,234,68,69,89,126,78,73,88,114,0
Chaco,372,363,484,537,594,721,654,680,642,718,744,708,676,642,638,615,812,878,833,894
Chubut,28,36,22,16,57,57,14,19,28,28,33,31,49,137,257,342,397,397,245,0
Cordoba,372,361,415,423,523,566,569,525,626,591,684,797,703,714,794,901,1126,1130,838,1360
Corrientes,690,604,680,668,787,717,786,850,834,833,808,879,905,806,911,962,1125,1333,1103,1505
Entre Rios,888,882,1110,1141,1113,1085,1321,1316,1475,1308,1204,1543,1340,1415,1386,1456,1915,2357,2079,2525
Formosa,142,194,164,145,156,139,133,131,125,151,138,185,169,205,170,161,294,174,102,179
Jujuy,331,328,385,399,343,398,439,453,506,509,513,648,583,526,558,911,742,779,702,0
La Pampa,35,42,34,44,42,36,10,6,2,3,13,3,3,4,4,4,3,6,6,0
La Rioja,54,54,98,83,48,73,48,90,63,73,90,104,134,138,177,382,487,370,302,0
Mendoza,1125,699,313,228,202,182,208,157,121,196,235,282,247,246,477,563,646,570,507,739
Misiones,631,729,746,737,722,512,88,173,52,12,18,14,57,13,9,14,7,47,11,3
Neuquen,17,20,33,20,26,28,24,27,35,25,26,20,35,39,83,91,94,94,63,0
Prov.98,6,16,36,9,11,32,5,10,13,12,18,61,26,11,14,13,10,25,7,0
Prov.99,50,30,42,45,48,38,59,22,28,24,32,33,17,48,75,59,73,81,89,4645
Rio Negro,136,160,168,149,187,173,238,222,188,165,172,193,222,177,220,152,237,243,217,0
Salta,600,296,331,345,234,44,37,313,284,196,47,28,44,303,231,330,254,273,315,0
San Juan,32,25,57,35,20,21,13,28,44,36,52,31,31,39,46,52,84,140,198,0
San Luis,3,6,3,3,0,3,1,1,0,10,9,24,62,123,74,114,150,133,47,0
Santa Cruz,25,35,44,74,60,89,109,88,106,115,100,77,75,68,14,5,6,11,13,0
Santa Fe,2184,2233,2962,2768,2747,3183,3583,3182,2734,2051,2026,2581,2680,2836,2705,2782,3156,3329,2716,3415
Santiago del Estero,574,607,708,585,688,734,680,787,835,870,975,1025,979,1119,1108,987,934,1092,1042,0
Tierra del Fuego,20,8,5,14,7,6,8,6,4,3,8,6,9,6,11,30,24,24,22,0
Tucuman,1212,400,823,951,1290,554,286,226,160,173,181,118,104,142,129,159,204,133,278,395
