provincia,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Buenos Aires,2539,2749,3379,3399,3708,4061,4124,3678,4031,3362,1869,2114,1478,1644,1599,2128,2071,2342,2294,2157
CABA,90,114,148,144,124,96,100,91,99,110,110,87,81,69,216,234,139,148,123,102
Catamarca,45,146,31,48,71,64,57,62,93,52,117,32,41,46,73,27,37,38,57,34
Chaco,199,218,283,299,322,396,371,373,366,378,386,371,343,329,330,347,453,477,453,485
Chubut,22,27,17,12,33,31,8,17,22,21,22,23,31,86,155,198,220,213,139,184
Cordoba,187,184,230,200,229,267,249,250,301,288,307,358,333,320,341,421,482,494,377,566
Corrientes,378,308,345,375,410,361,416,440,429,462,439,452,506,452,486,533,584,742,603,794
Entre Rios,443,442,519,568,567,530,642,636,736,647,608,773,659,700,687,719,941,1163,1031,1231
Formosa,86,123,87,74,103,84,69,79,62,85,78,100,87,107,79,87,174,94,62,100
Jujuy,195,183,200,238,207,222,243,259,303,286,281,354,300,284,324,507,383,416,386,497
La Pampa,10,21,11,17,20,13,6,1,1,2,4,2,0,3,2,4,1,2,2,5
La Rioja,38,27,46,52,20,36,22,51,27,36,48,50,69,70,82,187,248,192,164,180
Mendoza,499,309,141,108,97,90,103,72,59,98,100,145,94,123,264,327,308,269,266,367
Misiones,354,392,441,448,414,305,48,102,32,6,14,6,37,3,2,10,5,28,8,2
Neuquen,12,11,21,12,12,19,12,10,19,14,11,11,21,24,60,53,47,59,43,58
Prov.98,4,10,30,7,6,20,3,8,7,7,6,41,14,6,7,9,5,15,5,11
Prov.99,33,21,32,29,34,26,39,16,24,19,16,22,11,35,47,35,42,55,52,172
Rio Negro,74,89,74,68,94,82,119,112,99,77,83,95,112,89,108,84,125,117,103,130
Salta,364,158,178,177,135,21,19,173,145,106,25,19,16,164,113,170,143,130,169,174
San Juan,18,13,27,10,9,9,6,11,18,17,17,11,8,14,11,23,37,60,88,113
San Luis,1,4,1,3,0,1,0,0,0,6,6,11,33,59,36,63,78,63,19,56
Santa Cruz,14,23,26,46,34,42,83,48,69,69,52,40,35,34,9,5,3,7,9,10
Santa Fe,1164,1167,1569,1493,1426,1610,1739,1588,1387,1036,1011,1282,1308,1422,1350,1356,1532,1609,1346,1679
Santiago del Estero,321,347,387,342,388,409,360,393,459,460,516,551,531,582,576,547,491,528,533,780
Tierra del Fuego,16,4,2,8,5,5,4,3,4,2,4,3,5,3,8,17,16,10,10,17
Tucuman,582,188,408,454,614,285,164,121,74,84,86,64,51,78,65,89,118,67,154,213
