CAUSA,nombre,edad,avg_2021_2023,muertes_2024,delta,pct_change
W01,Caída en el mismo nivel por deslizamiento tropezón y traspié,75+,22.7,111,88.3,389
X59,Exposición a factores no especificados,75+,724,811,87,12
W18,Otras caídas en el mismo nivel,75+,89.3,155,65.7,74
W19,Caída no especificada,75+,51.7,85,33.3,64
W80,Inhalación e ingestión de otros objetos que causan obstrucción de las vías respiratorias,75+,12,30,18,150
W01,Caída en el mismo nivel por deslizamiento tropezón y traspié,55-74,5.3,21,15.7,296
W19,Caída no especificada,55-74,6,20,14,233
W18,Otras caídas en el mismo nivel,55-74,16.7,30,13.3,80
W06,Caída que implica cama,75+,8,14,6,75
W74,Ahogamiento y sumersión no especificados,0-14,9.3,15,5.7,61
W74,Ahogamiento y sumersión no especificados,15-34,2.5,7,4.5,NA
W17,Otras caídas de un nivel a otro,55-74,4.7,9,4.3,91
W44,Cuerpo extraño que penetra por el ojo u orificio natural,75+,1.7,6,4.3,NA
W79,Inhalación e ingestión de alimento que causa obstrucción de las vías respiratorias,0-14,12.7,17,4.3,34
W79,Inhalación e ingestión de alimento que causa obstrucción de las vías respiratorias,35-54,2.7,7,4.3,NA
W80,Inhalación e ingestión de otros objetos que causan obstrucción de las vías respiratorias,55-74,4.7,9,4.3,91
W87,Exposición a corriente eléctrica no especificada,35-54,6,10,4,67
X47,Envenenamiento accidental por y exposición a otros gases y vapores,75+,6,10,4,67
X47,Envenenamiento accidental por y exposición a otros gases y vapores,55-74,8.3,12,3.7,45
W10,Caída en o desde escalera o escalones,75+,2.5,6,3.5,NA
X44,Envenenamiento accidental por y exposición a otras drogas medicamentos y sustancias biológicas y los no especificados,75+,1.5,5,3.5,NA
W67,Ahogamiento y sumersión mientras se está en una piscina,0-14,2,5,3,NA
W80,Inhalación e ingestión de otros objetos que causan obstrucción de las vías respiratorias,0-14,4,7,3,75
X00,Exposición a fuego no controlado en edificio u otra construcción,75+,2,5,3,NA
W78,Inhalación de contenidos gástricos,75+,3.7,6,2.3,62
W87,Exposición a corriente eléctrica no especificada,0-14,4.7,7,2.3,49
X59,Exposición a factores no especificados,55-74,125.7,128,2.3,2
W69,Ahogamiento y sumersión mientras se está en aguas naturales,15-34,4,6,2,50
W79,Inhalación e ingestión de alimento que causa obstrucción de las vías respiratorias,15-34,3,5,2,NA
X09,Exposición a humos fuegos o llamas no especificados,15-34,8,10,2,25
X47,Envenenamiento accidental por y exposición a otros gases y vapores,35-54,4,6,2,50
X59,Exposición a factores no especificados,15-34,54.7,56,1.3,2
X09,Exposición a humos fuegos o llamas no especificados,75+,8.7,9,0.3,3
X09,Exposición a humos fuegos o llamas no especificados,55-74,9.3,9,-0.3,-3
W84,Obstrucción no especificada de la respiración,0-14,7,6,-1,-14
X09,Exposición a humos fuegos o llamas no especificados,0-14,6.3,5,-1.3,-21
W84,Obstrucción no especificada de la respiración,55-74,10,8,-2,-20
W87,Exposición a corriente eléctrica no especificada,15-34,9.3,7,-2.3,-25
W79,Inhalación e ingestión de alimento que causa obstrucción de las vías respiratorias,55-74,9.7,6,-3.7,-38
X59,Exposición a factores no especificados,0-14,15.7,12,-3.7,-24
X09,Exposición a humos fuegos o llamas no especificados,35-54,14,6,-8,-57
X59,Exposición a factores no especificados,35-54,63.3,55,-8.3,-13
W79,Inhalación e ingestión de alimento que causa obstrucción de las vías respiratorias,75+,29.7,21,-8.7,-29
W84,Obstrucción no especificada de la respiración,75+,34,16,-18,-53
