"age","grupo_etario","anio_def","mes_def","obs","covid","resp","circ","diabetes","alzheimer","metabolic","anemia","fecha","month","pred","pred.lower","pred.upper","excess","post2021"
"01.menor a 20 anios","01.menor a 20 anios",2015,"01",1134,0,41,16,1,0,3,8,2015-01-01,1,1133.48333333329,1095.39109687701,1171.57556978958,0.516666666706442,0
"01.menor a 20 anios","01.menor a 20 anios",2015,"02",1031,0,38,22,0,0,9,4,2015-02-01,2,1041.88333333335,1003.79109687706,1079.97556978964,-10.8833333333459,0
"01.menor a 20 anios","01.menor a 20 anios",2015,"03",1062,0,61,27,0,0,7,3,2015-03-01,3,1093.28333333331,1055.19109687702,1131.3755697896,-31.283333333311,0
"01.menor a 20 anios","01.menor a 20 anios",2015,"04",1030,0,58,22,0,0,9,2,2015-04-01,4,1032.28333333331,994.191096877023,1070.3755697896,-2.28333333331011,0
"01.menor a 20 anios","01.menor a 20 anios",2015,"05",1098,0,76,18,0,0,8,2,2015-05-01,5,1118.88333333331,1080.79109687702,1156.9755697896,-20.8833333333087,0
"01.menor a 20 anios","01.menor a 20 anios",2015,"06",1165,0,113,21,0,0,8,4,2015-06-01,6,1202.68333333331,1164.59109687702,1240.7755697896,-37.6833333333102,0
"01.menor a 20 anios","01.menor a 20 anios",2015,"07",1187,0,146,27,2,0,14,5,2015-07-01,7,1195.08333333331,1156.99109687703,1233.1755697896,-8.08333333331325,0
"01.menor a 20 anios","01.menor a 20 anios",2015,"08",1067,0,97,27,1,0,6,2,2015-08-01,8,1084.68333333331,1046.59109687702,1122.7755697896,-17.6833333333118,0
"01.menor a 20 anios","01.menor a 20 anios",2015,"09",1079,0,83,25,1,0,5,1,2015-09-01,9,1033.08333333331,994.991096877024,1071.1755697896,45.9166666666883,0
"01.menor a 20 anios","01.menor a 20 anios",2015,"10",1015,0,71,21,1,0,6,1,2015-10-01,10,1032.68333333331,994.591096877025,1070.7755697896,-17.6833333333118,0
"01.menor a 20 anios","01.menor a 20 anios",2015,"11",923,0,46,22,1,0,7,4,2015-11-01,11,989.683333333309,951.591096877022,1027.7755697896,-66.6833333333087,0
"01.menor a 20 anios","01.menor a 20 anios",2015,"12",1136,0,59,25,1,0,7,2,2015-12-01,12,1074.88333333331,1036.79109687702,1112.9755697896,61.1166666666898,0
"01.menor a 20 anios","01.menor a 20 anios",2016,"01",1089,0,49,20,1,0,10,5,2016-01-01,1,1080.14166666663,1044.14788647176,1116.13544686151,8.85833333336632,0
"01.menor a 20 anios","01.menor a 20 anios",2016,"02",1059,0,54,24,0,0,7,5,2016-02-01,2,988.541666666686,952.547886471812,1024.53544686156,70.4583333333139,0
"01.menor a 20 anios","01.menor a 20 anios",2016,"03",1008,0,59,25,1,0,6,6,2016-03-01,3,1039.94166666665,1003.94788647178,1075.93544686152,-31.9416666666511,0
"01.menor a 20 anios","01.menor a 20 anios",2016,"04",997,0,69,20,1,0,7,2,2016-04-01,4,978.94166666665,942.947886471777,1014.93544686152,18.0583333333497,0
"01.menor a 20 anios","01.menor a 20 anios",2016,"05",1149,0,113,29,2,0,12,4,2016-05-01,5,1065.54166666665,1029.54788647177,1101.53544686152,83.4583333333512,0
