"term","estimate","std.error","statistic","p.value","model","age_group","anio_def","coef","se"
"(Intercept)",-161.944934058024,27.7234606575911,-5.84144007337992,8.54883679933456e-08,"lm","01.menor a 20 anios",NA,NA,NA
"covid",18.1248655392359,8.27385990736203,2.19061789082367,0.0311227711531424,"lm","01.menor a 20 anios",NA,NA,NA
"factor(anio_def)2016",-10.0590042340327,17.1862219050002,-0.585294679053699,0.559847497211012,"lm","01.menor a 20 anios",NA,NA,NA
"factor(anio_def)2017",11.8371420767534,15.2094453877071,0.778275721106874,0.43849409110459,"lm","01.menor a 20 anios",NA,NA,NA
"factor(anio_def)2018",7.80993391639507,17.8618904865996,0.437240051508225,0.663008412633094,"lm","01.menor a 20 anios",NA,NA,NA
"factor(anio_def)2019",18.9955474039432,16.2915239282983,1.16597731971213,0.246774030884547,"lm","01.menor a 20 anios",NA,NA,NA
"factor(anio_def)2020",-37.7596413653886,21.7521241543222,-1.73590593256547,0.0860805359262921,"lm","01.menor a 20 anios",NA,NA,NA
"factor(anio_def)2021",8.74869240648129,25.6246690286168,0.341416796318853,0.733603729646294,"lm","01.menor a 20 anios",NA,NA,NA
"factor(anio_def)2022",61.0392653423974,16.9639423783847,3.59817688488338,0.000528869004817118,"lm","01.menor a 20 anios",NA,NA,NA
"factor(anio_def)2023",66.5839297871068,19.8011477276039,3.36262981838598,0.00114443777684902,"lm","01.menor a 20 anios",NA,NA,NA
"factor(anio_def)2024",73.8759906262815,23.8437102866882,3.09834290628528,0.00261239014983569,"lm","01.menor a 20 anios",NA,NA,NA
"resp",1.87667366821844,0.243819027183196,7.69699432361519,1.91814439912895e-11,"lm","01.menor a 20 anios",NA,NA,NA
"circ",1.75113713462453,0.780061395219761,2.24487091061748,0.0272832314532976,"lm","01.menor a 20 anios",NA,NA,NA
"diabetes",5.9316957906778,3.16026381103605,1.87696222383826,0.0638367544328813,"lm","01.menor a 20 anios",NA,NA,NA
"alzheimer",50.3460038897547,18.7050476419212,2.69157314397428,0.00851131785302834,"lm","01.menor a 20 anios",NA,NA,NA
"metabolic",2.8806436061554,1.48157204106776,1.94431558257493,0.0550516960952646,"lm","01.menor a 20 anios",NA,NA,NA
"anemia",0.846996156256574,2.54787625049281,0.332432219222872,0.740353491299562,"lm","01.menor a 20 anios",NA,NA,NA
"factor(month)2",4.73141616150542,20.0620849933233,0.235838705851363,0.814105845178063,"lm","01.menor a 20 anios",NA,NA,NA
"factor(month)3",-29.9563487972945,19.0489225649384,-1.57260069146548,0.119399988228605,"lm","01.menor a 20 anios",NA,NA,NA
"factor(month)4",-19.3744903573637,20.4617271002791,-0.946864859569918,0.346300481526193,"lm","01.menor a 20 anios",NA,NA,NA
"factor(month)5",-81.9232772023295,18.466502271861,-4.43631804205625,2.63762477338696e-05,"lm","01.menor a 20 anios",NA,NA,NA
"factor(month)6",-182.35801493805,25.7325122366456,-7.08667747870941,3.25238986194601e-10,"lm","01.menor a 20 anios",NA,NA,NA
"factor(month)7",-176.121223204495,23.0640411264954,-7.63618232548899,2.5482104022324e-11,"lm","01.menor a 20 anios",NA,NA,NA
"factor(month)8",-71.1468615678496,19.2150925922796,-3.70265515121356,0.000371608407235176,"lm","01.menor a 20 anios",NA,NA,NA
"factor(month)9",-51.3437073676803,18.0494651796598,-2.84461100961265,0.00552947242696469,"lm","01.menor a 20 anios",NA,NA,NA
"factor(month)10",-21.8088300020136,17.0138327463013,-1.28182934011472,0.203269461586713,"lm","01.menor a 20 anios",NA,NA,NA
"factor(month)11",3.93156650407866,19.9115187098015,0.197451864992263,0.84392931090061,"lm","01.menor a 20 anios",NA,NA,NA
"factor(month)12",-19.3310505416573,19.9151521086149,-0.97067049431649,0.334372833112979,"lm","01.menor a 20 anios",NA,NA,NA
"covid:factor(anio_def)2020",-17.2675210620414,8.57462777001281,-2.01379249632613,0.047085946827778,"lm","01.menor a 20 anios",NA,NA,NA
"covid:factor(anio_def)2021",-16.8952794670897,8.39227573478014,-2.01319403711564,0.0471501104155643,"lm","01.menor a 20 anios",NA,NA,NA
"covid:factor(anio_def)2022",-17.666188275888,8.30396558695485,-2.1274399671936,0.036180997824022,"lm","01.menor a 20 anios",NA,NA,NA
"covid:factor(anio_def)2023",-19.7151050150255,9.58814884725473,-2.05619513517151,0.0427260293238312,"lm","01.menor a 20 anios",NA,NA,NA
NA,NA,NA,NA,NA,"lm","01.menor a 20 anios",2015,18.1248655392359,8.27385990736203
NA,NA,NA,NA,NA,"lm","01.menor a 20 anios",2016,NA,8.27385990736203
NA,NA,NA,NA,NA,"lm","01.menor a 20 anios",2017,NA,8.27385990736203
NA,NA,NA,NA,NA,"lm","01.menor a 20 anios",2018,NA,8.27385990736203
NA,NA,NA,NA,NA,"lm","01.menor a 20 anios",2019,NA,8.27385990736203
NA,NA,NA,NA,NA,"lm","01.menor a 20 anios",2020,0.857344477194506,1.11255585495938
NA,NA,NA,NA,NA,"lm","01.menor a 20 anios",2021,1.22958607214626,0.870835748991436
NA,NA,NA,NA,NA,"lm","01.menor a 20 anios",2022,0.458677263347933,0.275772791450043
NA,NA,NA,NA,NA,"lm","01.menor a 20 anios",2023,-1.59023947578954,4.48907704973107
NA,NA,NA,NA,NA,"lm","01.menor a 20 anios",2024,NA,8.27385990736203
"(Intercept)",-337.339437549778,55.1889715133123,-6.11244290842434,2.62155573543274e-08,"lm","02.de 20 a 39 anios",NA,NA,NA
"covid",19.3154400136662,6.85248207612317,2.81875089917697,0.00595420198818077,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(anio_def)2016",9.67257581953114,18.1299372590858,0.533514026072192,0.595022798088568,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(anio_def)2017",0.266666575820733,17.3263702291709,0.0153907928950848,0.987755249204183,"lm","02.de 20 a 39 anios",NA,NA,NA
"factor(anio_def)2018",13.5178045199744,17.9644654731998,0.75247463055001,0.453773820757557,"lm","02.de 20 a 39 anios",NA,NA,NA
