"cod_causa_muerte_CIE10","jurisd","total_2024","total_2023","diff"
"X59","Prov. Bs.As.",312,269,43
"X59","Santa Fe.",146,107,39
"X59","no identificado.",137,100,37
"X59","Mendoza.",150,122,28
"X59","Tucuman.",26,10,16
"X59","Entre Rios.",48,43,5
"X59","Corrientes.",39,35,4
"X59","Cordoba.",45,44,1
"X59","CABA",60,61,-1
"X59","Formosa.",2,3,-1
"X59","Misiones.",1,2,-1
"X59","Chaco.",29,36,-7
"Y83","Mendoza.",11,0,11
"Y83","no identificado.",58,49,9
"Y83","CABA",21,16,5
"Y83","Prov. Bs.As.",15,10,5
"Y83","Santa Fe.",83,78,5
"Y83","Entre Rios.",4,0,4
"Y83","Corrientes.",1,0,1
"Y83","Chaco.",7,7,0
"Y83","Tucuman.",1,5,-4
"Y83","Misiones.",17,22,-5
"Y83","Formosa.",5,11,-6
"Y83","Cordoba.",20,30,-10
