"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"50","1","W31","","14_65 a 69","1"
"86","1","I49","","10_45 a 49","2"
"90","1","K26","","15_70 a 74","1"
"38","1","G00","","09_40 a 44","2"
"62","2","A41","","17_80 y más","12"
"14","1","G12","","13_60 a 64","1"
"06","2","K74","","12_55 a 59","12"
"18","2","X59","","05_20 a 24","1"
"22","1","C76","","14_65 a 69","1"
"30","1","D37","","16_75 a 79","1"
"14","2","V43","","13_60 a 64","1"
"62","2","C73","","16_75 a 79","1"
"30","1","I60","","04_15 a 19","1"
"30","1","I73","","15_70 a 74","1"
"22","1","V04","","17_80 y más","1"
"62","1","I25","","16_75 a 79","10"
"54","2","I42","","15_70 a 74","2"
"94","1","K72","","11_50 a 54","1"
"02","1","C80","","17_80 y más","48"
"30","1","Y83","","13_60 a 64","4"
"54","1","I71","","13_60 a 64","3"
"06","1","J86","","04_15 a 19","1"
"54","2","R99","","01_Menor de 1 año","5"
"22","1","K65","","09_40 a 44","2"
"90","1","C80","","16_75 a 79","5"
"02","2","C76","","17_80 y más","7"
"62","2","A16","","15_70 a 74","1"
"14","1","C48","","16_75 a 79","1"
"82","2","C56","","08_35 a 39","2"
"26","1","W37","","09_40 a 44","1"
"78","1","C34","","13_60 a 64","2"
"86","2","J84","","14_65 a 69","1"
"02","2","C53","","08_35 a 39","1"
"70","1","B17","","15_70 a 74","1"
"34","2","I71","","13_60 a 64","2"
"34","1","I60","","16_75 a 79","1"
"78","2","K55","","12_55 a 59","1"
"02","2","N15","","13_60 a 64","1"
"18","1","A16","","08_35 a 39","1"
"34","1","I50","","15_70 a 74","9"
"14","2","I77","","17_80 y más","9"
"82","1","K85","","16_75 a 79","3"
"34","1","I21","","12_55 a 59","10"
"38","2","K72","","10_45 a 49","1"
"06","1","Y34","","13_60 a 64","34"
"10","1","X59","","13_60 a 64","1"
"58","2","O72","M","05_20 a 24","1"
"82","2","Y20","","17_80 y más","1"
"26","2","I64","","99_Sin especificar","1"
"74","2","W17","","17_80 y más","4"
"02","2","K72","","16_75 a 79","3"
"82","1","R96","","13_60 a 64","18"
"02","1","Q78","","02_1 a 9","1"
"06","2","F03","","14_65 a 69","10"
"22","2","I67","","06_25 a 29","1"
"86","2","I60","","05_20 a 24","1"
"06","1","J96","","02_1 a 9","7"
"50","1","Q24","","01_Menor de 1 año","20"
"22","2","E10","","15_70 a 74","2"
"14","1","E86","","17_80 y más","24"
"90","2","G30","","15_70 a 74","1"
"54","1","V18","","04_15 a 19","1"
"10","1","N49","","13_60 a 64","1"
"66","2","X74","","04_15 a 19","1"
"99","2","I61","","09_40 a 44","1"
"26","2","J44","","12_55 a 59","1"
"66","2","B23","","11_50 a 54","1"
"18","2","C95","","16_75 a 79","1"
"38","1","R99","","16_75 a 79","35"
"50","1","R10","","16_75 a 79","3"
"86","2","K74","","10_45 a 49","1"
"14","1","I31","","11_50 a 54","1"
"18","2","C91","","17_80 y más","3"
"06","2","X84","","11_50 a 54","2"
"10","2","F10","","17_80 y más","1"
"62","1","C71","","09_40 a 44","1"
"14","2","C32","","14_65 a 69","2"
"70","1","X70","","15_70 a 74","2"
"82","1","I51","","16_75 a 79","13"
"02","2","F20","","12_55 a 59","1"
"70","1","X44","","08_35 a 39","1"
"82","1","X95","","12_55 a 59","3"
"06","1","D69","","01_Menor de 1 año","2"
"22","1","E84","","02_1 a 9","1"
"22","1","I64","","06_25 a 29","1"
"90","1","C26","","15_70 a 74","1"
"26","2","D43","","02_1 a 9","1"
"18","2","N18","","05_20 a 24","1"
