"cod_causa_muerte_CIE10","jurisd","total_2024","total_2023","diff"
"X59","Mendoza.",55,33,22
"X59","no identificado.",40,24,16
"X59","Prov. Bs.As.",94,80,14
"X59","Santa Fe.",38,33,5
"X59","Cordoba.",16,13,3
"X59","Tucuman.",8,5,3
"X59","Corrientes.",12,10,2
"X59","Entre Rios.",13,11,2
"X59","Formosa.",2,0,2
"X59","Misiones.",0,1,-1
"X59","Chaco.",5,10,-5
"X59","CABA",14,22,-8
"Y83","Santa Fe.",23,17,6
"Y83","Misiones.",8,5,3
"Y83","Mendoza.",2,0,2
"Y83","Prov. Bs.As.",4,2,2
"Y83","CABA",6,5,1
"Y83","Corrientes.",1,0,1
"Y83","Chaco.",1,1,0
"Y83","Cordoba.",6,6,0
"Y83","Formosa.",2,2,0
"Y83","Tucuman.",0,3,-3
"Y83","no identificado.",15,20,-5
